$t$ / s;$U_A1$ / V;$U_B1$ / V
0;0,026;2,55
0,1;-0,068;2,48
0,2;-0,167;2,41
0,3;-0,257;2,33
0,4;-0,336;2,26
0,5;-0,39;2,21
0,6;-0,414;2,18
0,7;-0,41;2,17
0,8;-0,375;2,19
0,9;-0,31;2,23
1;-0,227;2,29
1,1;-0,134;2,36
1,2;-0,039;2,43
1,3;0,047;2,51
1,4;0,119;2,57
1,5;0,164;2,63
1,6;0,177;2,66
1,7;0,165;2,66
1,8;0,12;2,64
1,9;0,05;2,59
2;-0,037;2,54
2,1;-0,129;2,46
2,2;-0,224;2,38
2,3;-0,3;2,3
2,4;-0,362;2,24
2,5;-0,396;2,19
2,6;-0,401;2,16
2,7;-0,379;2,16
2,8;-0,328;2,19
2,9;-0,256;2,23
3;-0,161;2,3
3,1;-0,076;2,38
3,2;0,012;2,46
3,3;0,084;2,54
3,4;0,135;2,61
3,5;0,16;2,66
3,6;0,157;2,68
3,7;0,124;2,67
3,8;0,07;2,65
3,9;-0,007;2,59
4;-0,093;2,52
4,1;-0,18;2,43
4,2;-0,259;2,35
4,3;-0,325;2,27
4,4;-0,368;2,2
4,5;-0,385;2,16
4,6;-0,373;2,14
4,7;-0,336;2,15
4,8;-0,278;2,18
4,9;-0,2;2,25
5;-0,115;2,32
5,1;-0,034;2,41
5,2;0,04;2,51
5,3;0,092;2,59
5,4;0,125;2,65
5,5;0,135;2,69
5,6;0,121;2,7
5,7;0,083;2,68
5,8;0,022;2,63
5,9;-0,052;2,56
6;-0,131;2,48
6,1;-0,211;2,38
6,2;-0,272;2,29
6,3;-0,325;2,21
6,4;-0,354;2,15
6,5;-0,362;2,12
6,6;-0,344;2,12
6,7;-0,301;2,15
6,8;-0,243;2,21
6,9;-0,171;2,29
7;-0,095;2,38
7,1;-0,022;2,48
7,2;0,041;2,56
7,3;0,088;2,64
7,4;0,116;2,69
7,5;0,115;2,72
7,6;0,094;2,71
7,7;0,054;2,66
7,8;-0,007;2,6
7,9;-0,074;2,51
8;-0,149;2,42
8,1;-0,219;2,32
8,2;-0,279;2,23
8,3;-0,322;2,17
8,4;-0,345;2,12
8,5;-0,344;2,11
8,6;-0,324;2,13
8,7;-0,282;2,18
8,8;-0,222;2,25
8,9;-0,154;2,35
9;-0,079;2,44
9,1;-0,01;2,54
9,2;0,048;2,62
9,3;0,09;2,68
9,4;0,113;2,71
9,5;0,112;2,71
9,6;0,088;2,68
9,7;0,042;2,62
9,8;-0,016;2,54
9,9;-0,084;2,45
10;-0,16;2,35
10,1;-0,232;2,26
10,2;-0,289;2,18
10,3;-0,333;2,13
10,4;-0,354;2,11
10,5;-0,35;2,12
10,6;-0,324;2,17
10,7;-0,276;2,23
10,8;-0,216;2,32
10,9;-0,139;2,41
11;-0,065;2,5
11,1;0,006;2,59
11,2;0,065;2,65
11,3;0,106;2,7
11,4;0,125;2,71
11,5;0,118;2,69
11,6;0,09;2,64
11,7;0,042;2,57
11,8;-0,031;2,48
11,9;-0,106;2,38
12;-0,185;2,29
12,1;-0,254;2,22
12,2;-0,315;2,16
12,3;-0,355;2,13
12,4;-0,366;2,13
12,5;-0,36;2,16
12,6;-0,323;2,21
12,7;-0,268;2,28
12,8;-0,195;2,37
12,9;-0,117;2,46
13;-0,035;2,55
13,1;0,04;2,62
13,2;0,097;2,67
13,3;0,13;2,69
13,4;0,145;2,68
13,5;0,129;2,65
13,6;0,088;2,59
13,7;0,026;2,52
13,8;-0,054;2,43
13,9;-0,137;2,34
14;-0,219;2,26
14,1;-0,293;2,2
14,2;-0,349;2,16
14,3;-0,381;2,15
14,4;-0,386;2,16
14,5;-0,363;2,2
14,6;-0,313;2,26
14,7;-0,245;2,34
14,8;-0,16;2,42
14,9;-0,072;2,51
15;0,012;2,58
15,1;0,083;2,63
15,2;0,137;2,66
15,3;0,162;2,67
15,4;0,156;2,65
15,5;0,127;2,61
15,6;0,069;2,55
