$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,042;2,33
0,1;-0,096;2,39
0,2;-0,139;2,43
0,3;-0,167;2,46
0,4;-0,173;2,48
0,5;-0,164;2,47
0,6;-0,13;2,45
0,7;-0,089;2,41
0,8;-0,037;2,35
0,9;0,014;2,31
1;0,055;2,26
1,1;0,08;2,24
1,2;0,083;2,23
1,3;0,064;2,24
1,4;0,029;2,27
1,5;-0,02;2,32
1,6;-0,074;2,37
1,7;-0,125;2,41
1,8;-0,158;2,45
1,9;-0,177;2,48
2;-0,176;2,48
2,1;-0,152;2,46
2,2;-0,112;2,42
2,3;-0,061;2,37
2,4;-0,007;2,33
2,5;0,042;2,28
2,6;0,073;2,24
2,7;0,082;2,23
2,8;0,077;2,24
2,9;0,048;2,26
3;0,005;2,31
3,1;-0,052;2,36
3,2;-0,1;2,4
3,3;-0,142;2,45
3,4;-0,168;2,47
3,5;-0,175;2,48
3,6;-0,159;2,46
3,7;-0,131;2,43
3,8;-0,082;2,39
3,9;-0,03;2,34
4;0,016;2,29
4,1;0,056;2,25
4,2;0,078;2,23
4,3;0,078;2,23
4,4;0,059;2,25
4,5;0,021;2,29
4,6;-0,029;2,34
4,7;-0,083;2,39
4,8;-0,124;2,43
4,9;-0,16;2,47
5;-0,172;2,48
5,1;-0,164;2,48
5,2;-0,134;2,46
5,3;-0,101;2,41
5,4;-0,047;2,36
5,5;0,002;2,31
5,6;0,045;2,26
5,7;0,068;2,23
5,8;0,074;2,22
5,9;0,062;2,23
6;0,031;2,26
6,1;-0,015;2,31
6,2;-0,064;2,36
6,3;-0,114;2,41
6,4;-0,151;2,45
6,5;-0,17;2,48
6,6;-0,167;2,48
6,7;-0,143;2,47
6,8;-0,111;2,43
6,9;-0,063;2,39
7;-0,01;2,33
7,1;0,038;2,29
7,2;0,069;2,25
7,3;0,079;2,23
7,4;0,072;2,23
7,5;0,046;2,25
7,6;0,003;2,29
7,7;-0,05;2,34
7,8;-0,098;2,38
7,9;-0,14;2,43
8;-0,166;2,46
8,1;-0,176;2,47
8,2;-0,162;2,47
8,3;-0,128;2,44
8,4;-0,082;2,4
8,5;-0,033;2,35
8,6;0,018;2,3
8,7;0,057;2,26
8,8;0,081;2,24
8,9;0,084;2,23
9;0,062;2,24
9,1;0,028;2,28
9,2;-0,022;2,32
9,3;-0,072;2,37
9,4;-0,123;2,42
9,5;-0,159;2,45
9,6;-0,173;2,47
9,7;-0,172;2,48
9,8;-0,145;2,45
9,9;-0,107;2,42
10;-0,059;2,37
10,1;-0,008;2,32
10,2;0,039;2,27
10,3;0,072;2,24
10,4;0,08;2,23
10,5;0,072;2,24
10,6;0,043;2,27
10,7;0,002;2,31
10,8;-0,049;2,35
10,9;-0,099;2,41
11;-0,141;2,45
11,1;-0,165;2,47
11,2;-0,171;2,48
11,3;-0,157;2,46
11,4;-0,125;2,43
11,5;-0,077;2,39
11,6;-0,028;2,33
11,7;0,017;2,29
11,8;0,053;2,25
11,9;0,072;2,23
12;0,074;2,23
12,1;0,051;2,25
12,2;0,013;2,28
12,3;-0,031;2,33
12,4;-0,081;2,38
12,5;-0,13;2,43
12,6;-0,155;2,47
12,7;-0,171;2,48
12,8;-0,163;2,48
12,9;-0,137;2,45
13;-0,094;2,41
13,1;-0,043;2,36
13,2;0,005;2,31
13,3;0,045;2,26
13,4;0,067;2,23
13,5;0,073;2,23
13,6;0,059;2,24
13,7;0,026;2,27
13,8;-0,021;2,31
13,9;-0,071;2,36
14;-0,117;2,41
14,1;-0,151;2,45
14,2;-0,169;2,47
14,3;-0,167;2,48
14,4;-0,147;2,46
14,5;-0,11;2,43
14,6;-0,06;2,39
14,7;-0,009;2,33
14,8;0,033;2,28
14,9;0,067;2,25
15;0,078;2,23
15,1;0,07;2,23
15,2;0,04;2,25
15,3;-0,001;2,29
15,4;-0,051;2,34
15,5;-0,098;2,39
15,6;-0,143;2,43
15,7;-0,17;2,46
15,8;-0,173;2,48
15,9;-0,157;2,47
16;-0,127;2,44
16,1;-0,081;2,39
16,2;-0,033;2,35
16,3;0,018;2,3
16,4;0,055;2,26
16,5;0,079;2,24
16,6;0,079;2,23
16,7;0,059;2,25
16,8;0,023;2,28
16,9;-0,024;2,33
17;-0,078;2,38
17,1;-0,126;2,42
17,2;-0,16;2,46
17,3;-0,171;2,48
17,4;-0,171;2,47
17,5;-0,143;2,45
17,6;-0,105;2,41
17,7;-0,056;2,36
17,8;-0,006;2,31
17,9;0,039;2,27
18;0,067;2,24
18,1;0,078;2,23
18,2;0,066;2,24
