t / s;U_A1 / V;U_B1 / V
0;0,08;2,94
0,1;0,082;2,95
0,2;0,089;2,95
0,3;0,091;2,95
0,4;0,089;2,94
0,5;0,083;2,94
0,6;0,082;2,94
0,7;0,084;2,94
0,8;0,079;2,93
0,9;0,06;2,91
1;0,006;2,85
1,1;-0,074;2,77
1,2;-0,174;2,67
1,3;-0,283;2,56
1,4;-0,395;2,44
1,5;-0,495;2,35
1,6;-0,574;2,27
1,7;-0,619;2,23
1,8;-0,634;2,21
1,9;-0,612;2,24
2;-0,552;2,3
2,1;-0,467;2,39
2,2;-0,361;2,5
2,3;-0,25;2,61
2,4;-0,14;2,72
2,5;-0,043;2,81
2,6;0,025;2,88
2,7;0,069;2,92
2,8;0,07;2,92
2,9;0,038;2,88
3;-0,028;2,82
3,1;-0,114;2,73
3,2;-0,222;2,62
3,3;-0,332;2,5
3,4;-0,44;2,4
3,5;-0,534;2,31
3,6;-0,596;2,25
3,7;-0,631;2,22
3,8;-0,627;2,23
3,9;-0,588;2,26
4;-0,519;2,34
4,1;-0,423;2,43
4,2;-0,315;2,54
4,3;-0,2;2,65
4,4;-0,096;2,76
4,5;-0,009;2,84
4,6;0,051;2,9
4,7;0,071;2,92
4,8;0,063;2,91
4,9;0,016;2,86
5;-0,06;2,78
5,1;-0,161;2,68
5,2;-0,274;2,57
5,3;-0,384;2,46
5,4;-0,485;2,36
5,5;-0,565;2,28
5,6;-0,616;2,23
5,7;-0,63;2,22
5,8;-0,613;2,24
5,9;-0,561;2,3
6;-0,48;2,38
6,1;-0,376;2,48
6,2;-0,262;2,59
6,3;-0,154;2,7
6,4;-0,057;2,8
6,5;0,018;2,87
6,6;0,063;2,92
6,7;0,073;2,92
6,8;0,047;2,89
6,9;-0,015;2,83
7;-0,103;2,74
7,1;-0,211;2,63
7,2;-0,322;2,52
7,3;-0,43;2,42
7,4;-0,523;2,32
7,5;-0,593;2,25
7,6;-0,627;2,22
7,7;-0,628;2,22
7,8;-0,595;2,26
7,9;-0,527;2,33
8;-0,434;2,42
8,1;-0,327;2,53
8,2;-0,216;2,64
8,3;-0,108;2,74
8,4;-0,018;2,83
8,5;0,045;2,89
8,6;0,07;2,92
8,7;0,066;2,91
8,8;0,024;2,87
8,9;-0,05;2,79
9;-0,146;2,69
9,1;-0,259;2,58
9,2;-0,372;2,47
9,3;-0,476;2,37
9,4;-0,559;2,29
9,5;-0,612;2,24
9,6;-0,635;2,22
9,7;-0,617;2,24
9,8;-0,569;2,29
9,9;-0,486;2,37
10;-0,389;2,47
10,1;-0,275;2,58
10,2;-0,166;2,69
10,3;-0,07;2,79
10,4;0,01;2,87
10,5;0,059;2,91
10,6;0,073;2,92
10,7;0,05;2,89
10,8;-0,007;2,84
10,9;-0,094;2,75
11;-0,197;2,65
11,1;-0,306;2,54
11,2;-0,416;2,43
11,3;-0,51;2,33
11,4;-0,581;2,27
11,5;-0,622;2,23
11,6;-0,627;2,22
11,7;-0,6;2,25
11,8;-0,536;2,32
11,9;-0,444;2,41
12;-0,339;2,51
12,1;-0,229;2,63
12,2;-0,121;2,73
12,3;-0,029;2,82
12,4;0,038;2,89
12,5;0,07;2,92
12,6;0,066;2,91
12,7;0,029;2,87
12,8;-0,04;2,8
12,9;-0,136;2,71
13;-0,244;2,6
13,1;-0,359;2,48
13,2;-0,461;2,38
13,3;-0,549;2,29
13,4;-0,605;2,24
13,5;-0,631;2,22
13,6;-0,619;2,24
13,7;-0,572;2,28
13,8;-0,5;2,36
13,9;-0,401;2,45
14;-0,291;2,56
14,1;-0,182;2,68
14,2;-0,079;2,77
14,3;0,004;2,85
14,4;0,055;2,9
14,5;0,07;2,92
14,6;0,056;2,9
14,7;0;2,84
14,8;-0,082;2,76
14,9;-0,179;2,66
15;-0,292;2,55
15,1;-0,403;2,44
15,2;-0,503;2,35
15,3;-0,575;2,27
15,4;-0,62;2,23
15,5;-0,629;2,22
15,6;-0,605;2,25
15,7;-0,546;2,31
15,8;-0,459;2,4
15,9;-0,352;2,5
16;-0,241;2,61
16,1;-0,132;2,72
16,2;-0,039;2,81
16,3;0,026;2,88
16,4;0,062;2,92
16,5;0,064;2,91
16,6;0,03;2,88
16,7;-0,036;2,82
16,8;-0,127;2,72
16,9;-0,232;2,61
17;-0,344;2,5
17,1;-0,448;2,4
17,2;-0,539;2,31
17,3;-0,6;2,25
17,4;-0,627;2,22
17,5;-0,622;2,23
17,6;-0,576;2,27
17,7;-0,509;2,35
17,8;-0,414;2,44
17,9;-0,306;2,55
18;-0,191;2,66
18,1;-0,091;2,76
18,2;-0,006;2,85
18,3;0,049;2,9
18,4;0,071;2,92
18,5;0,056;2,91
