$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,081;2,62
0,1;-0,086;2,55
0,2;-0,098;2,45
0,3;-0,106;2,36
0,4;-0,12;2,26
0,5;-0,133;2,19
0,6;-0,148;2,15
0,7;-0,162;2,13
0,8;-0,173;2,14
0,9;-0,185;2,19
1;-0,187;2,25
1,1;-0,185;2,34
1,2;-0,176;2,44
1,3;-0,156;2,53
1,4;-0,134;2,61
1,5;-0,11;2,66
1,6;-0,081;2,69
1,7;-0,054;2,69
1,8;-0,03;2,65
1,9;-0,018;2,59
2;-0,012;2,51
2,1;-0,019;2,43
2,2;-0,036;2,34
2,3;-0,064;2,26
2,4;-0,103;2,2
2,5;-0,141;2,16
2,6;-0,178;2,15
2,7;-0,22;2,17
2,8;-0,244;2,22
2,9;-0,259;2,29
3;-0,259;2,37
3,1;-0,248;2,45
3,2;-0,218;2,53
3,3;-0,178;2,6
3,4;-0,125;2,64
3,5;-0,07;2,66
3,6;-0,018;2,65
3,7;0,022;2,61
3,8;0,049;2,55
3,9;0,059;2,49
4;0,05;2,41
4,1;0,02;2,34
4,2;-0,028;2,27
4,3;-0,083;2,22
4,4;-0,15;2,2
4,5;-0,207;2,2
4,6;-0,265;2,22
4,7;-0,308;2,27
4,8;-0,324;2,33
4,9;-0,323;2,39
5;-0,298;2,45
5,1;-0,255;2,51
5,2;-0,192;2,56
5,3;-0,121;2,58
5,4;-0,044;2,6
5,5;0,025;2,59
5,6;0,078;2,56
5,7;0,111;2,51
5,8;0,118;2,46
5,9;0,1;2,4
6;0,053;2,36
6,1;-0,012;2,31
6,2;-0,084;2,28
6,3;-0,17;2,26
6,4;-0,246;2,27
6,5;-0,31;2,28
6,6;-0,355;2,31
6,7;-0,373;2,35
6,8;-0,363;2,4
6,9;-0,326;2,44
7;-0,268;2,48
7,1;-0,187;2,51
7,2;-0,098;2,52
7,3;-0,01;2,53
7,4;0,068;2,52
7,5;0,119;2,5
7,6;0,149;2,48
7,7;0,151;2,45
7,8;0,119;2,42
7,9;0,064;2,39
8;-0,014;2,37
8,1;-0,105;2,35
8,2;-0,197;2,34
8,3;-0,28;2,34
8,4;-0,349;2,34
8,5;-0,389;2,35
8,6;-0,402;2,37
8,7;-0,383;2,39
8,8;-0,335;2,4
8,9;-0,261;2,42
9;-0,169;2,43
9,1;-0,076;2,44
9,2;0,014;2,45
9,3;0,089;2,45
9,4;0,142;2,45
9,5;0,168;2,45
9,6;0,158;2,46
9,7;0,115;2,46
9,8;0,049;2,45
9,9;-0,033;2,44
10;-0,126;2,43
10,1;-0,216;2,42
10,2;-0,301;2,41
10,3;-0,361;2,4
10,4;-0,399;2,38
10,5;-0,399;2,36
10,6;-0,373;2,36
10,7;-0,315;2,35
10,8;-0,235;2,34
10,9;-0,148;2,35
11;-0,054;2,36
11,1;0,032;2,38
11,2;0,1;2,4
11,3;0,143;2,43
11,4;0,157;2,46
11,5;0,14;2,48
11,6;0,095;2,5
11,7;0,028;2,51
11,8;-0,055;2,52
11,9;-0,147;2,51
12;-0,232;2,5
12,1;-0,3;2,47
12,2;-0,351;2,43
12,3;-0,378;2,39
12,4;-0,371;2,35
12,5;-0,335;2,31
12,6;-0,281;2,29
12,7;-0,203;2,27
12,8;-0,123;2,27
12,9;-0,041;2,29
13;0,032;2,32
13,1;0,085;2,36
13,2;0,117;2,42
13,3;0,12;2,47
13,4;0,094;2,52
13,5;0,051;2,56
13,6;-0,011;2,58
13,7;-0,087;2,59
13,8;-0,159;2,58
13,9;-0,228;2,55
14;-0,285;2,5
14,1;-0,319;2,44
14,2;-0,33;2,37
14,3;-0,321;2,31
14,4;-0,29;2,26
14,5;-0,241;2,22
14,6;-0,178;2,2
14,7;-0,109;2,21
14,8;-0,047;2,24
14,9;0,007;2,29
15;0,043;2,35
15,1;0,06;2,42
15,2;0,06;2,5
15,3;0,042;2,56
15,4;0,003;2,61
15,5;-0,045;2,64
15,6;-0,098;2,65
15,7;-0,151;2,63
15,8;-0,2;2,58
15,9;-0,24;2,51
16;-0,26;2,43
16,1;-0,268;2,35
16,2;-0,257;2,28
16,3;-0,234;2,21
16,4;-0,199;2,17
16,5;-0,157;2,16
16,6;-0,113;2,17
16,7;-0,073;2,21
16,8;-0,044;2,28
16,9;-0,02;2,36
17;-0,01;2,44
17,1;-0,009;2,53
17,2;-0,021;2,6
17,3;-0,041;2,66
17,4;-0,067;2,68
17,5;-0,099;2,68
17,6;-0,125;2,65
17,7;-0,155;2,58
17,8;-0,17;2,51
17,9;-0,184;2,42
18;-0,188;2,33
18,1;-0,189;2,25
18,2;-0,183;2,18
18,3;-0,169;2,14
18,4;-0,156;2,13
18,5;-0,138;2,16
18,6;-0,121;2,21
18,7;-0,104;2,28
18,8;-0,093;2,37
18,9;-0,086;2,47
19;-0,08;2,56
19,1;-0,076;2,63
19,2;-0,076;2,68
19,3;-0,076;2,7
19,4;-0,079;2,69
19,5;-0,085;2,65
19,6;-0,091;2,57
19,7;-0,095;2,49
19,8;-0,106;2,4
19,9;-0,117;2,3
20;-0,131;2,22
20,1;-0,143;2,16
20,2;-0,156;2,13
20,3;-0,167;2,13
20,4;-0,173;2,17
20,5;-0,179;2,23
20,6;-0,183;2,31
20,7;-0,175;2,4
20,8;-0,161;2,49
20,9;-0,14;2,57
21;-0,117;2,64
21,1;-0,091;2,68
21,2;-0,066;2,69
21,3;-0,042;2,67
21,4;-0,023;2,62
21,5;-0,015;2,55
21,6;-0,017;2,46
21,7;-0,032;2,38
21,8;-0,052;2,29
21,9;-0,083;2,22
22;-0,118;2,17
22,1;-0,16;2,16
22,2;-0,192;2,17
22,3;-0,228;2,2
22,4;-0,25;2,26
22,5;-0,255;2,33
22,6;-0,242;2,42
22,7;-0,222;2,5
22,8;-0,184;2,57
22,9;-0,145;2,62
23;-0,091;2,65
23,1;-0,038;2,65
23,2;0,006;2,63
23,3;0,04;2,58
23,4;0,053;2,51
23,5;0,051;2,44
23,6;0,035;2,37
23,7;-0,005;2,29
23,8;-0,057;2,24
23,9;-0,118;2,21
24;-0,179;2,2
24,1;-0,237;2,21
24,2;-0,284;2,25
24,3;-0,312;2,3
24,4;-0,319;2,36
24,5;-0,308;2,43
24,6;-0,269;2,49
24,7;-0,213;2,54
24,8;-0,146;2,58
24,9;-0,073;2,6
25;-0,001;2,59
25,1;0,056;2,57
25,2;0,097;2,53
25,3;0,114;2,48
25,4;0,104;2,43
25,5;0,071;2,37
25,6;0,02;2,32
25,7;-0,053;2,29
25,8;-0,133;2,27
25,9;-0,211;2,26
26;-0,282;2,27
26,1;-0,335;2,3
26,2;-0,365;2,34
26,3;-0,364;2,38
26,4;-0,337;2,42
26,5;-0,287;2,47
26,6;-0,214;2,5
26,7;-0,132;2,52
26,8;-0,045;2,53
26,9;0,033;2,52
27;0,097;2,51
27,1;0,138;2,49
27,2;0,148;2,46
27,3;0,135;2,43
27,4;0,094;2,4
27,5;0,026;2,37
27,6;-0,062;2,35
27,7;-0,153;2,34
27,8;-0,245;2,34
27,9;-0,317;2,34
28;-0,371;2,34
28,1;-0,395;2,36
28,2;-0,384;2,38
28,3;-0,348;2,4
28,4;-0,285;2,41
28,5;-0,201;2,43
28,6;-0,112;2,44
28,7;-0,016;2,45
28,8;0,066;2,46
28,9;0,126;2,46
29;0,163;2,46
29,1;0,166;2,46
29,2;0,14;2,45
29,3;0,083;2,45
29,4;0,006;2,44
29,5;-0,085;2,43
29,6;-0,179;2,42
29,7;-0,265;2,41
29,8;-0,335;2,4
29,9;-0,379;2,39
30;-0,397;2,38
30,1;-0,376;2,37
30,2;-0,333;2,36
30,3;-0,265;2,35
30,4;-0,183;2,35
30,5;-0,09;2,36
30,6;0;2,38
30,7;0,076;2,4
30,8;0,126;2,42
30,9;0,155;2,45
31;0,152;2,47
31,1;0,115;2,49
31,2;0,054;2,5
31,3;-0,023;2,51
31,4;-0,109;2,51
31,5;-0,194;2,49
31,6;-0,271;2,47
31,7;-0,33;2,44
31,8;-0,369;2,4
31,9;-0,373;2,36
32;-0,347;2,33
32,1;-0,302;2,3
32,2;-0,233;2,28
32,3;-0,155;2,28
32,4;-0,074;2,29
32,5;0,003;2,32
32,6;0,067;2,36
32,7;0,108;2,4
32,8;0,123;2,45
32,9;0,113;2,5
33;0,075;2,54
33,1;0,018;2,57
33,2;-0,049;2,58
33,3;-0,123;2,58
33,4;-0,198;2,56
33,5;-0,262;2,51
33,6;-0,304;2,46
33,7;-0,327;2,41
33,8;-0,325;2,34
33,9;-0,301;2,29
34;-0,258;2,25
34,1;-0,201;2,22
34,2;-0,135;2,22
34,3;-0,072;2,23
34,4;-0,011;2,27
34,5;0,034;2,33
34,6;0,062;2,39
34,7;0,067;2,47
34,8;0,055;2,53
34,9;0,023;2,59
35;-0,021;2,63
35,1;-0,076;2,64
35,2;-0,128;2,63
35,3;-0,183;2,59
35,4;-0,223;2,54
35,5;-0,253;2,47
35,6;-0,268;2,39
35,7;-0,263;2,31
35,8;-0,242;2,24
35,9;-0,211;2,19
36;-0,171;2,17
36,1;-0,127;2,17
36,2;-0,083;2,2
36,3;-0,045;2,25
36,4;-0,017;2,32
36,5;-0,004;2,41
36,6;0,002;2,49
36,7;-0,009;2,57
36,8;-0,027;2,64
36,9;-0,052;2,68
37;-0,083;2,68
37,1;-0,115;2,66
37,2;-0,142;2,61
37,3;-0,165;2,54
37,4;-0,185;2,46
37,5;-0,195;2,37
37,6;-0,195;2,28
37,7;-0,186;2,21
37,8;-0,175;2,16
37,9;-0,159;2,14
38;-0,137;2,15
38,1;-0,121;2,19
38,2;-0,106;2,26
38,3;-0,093;2,34
38,4;-0,082;2,43
38,5;-0,074;2,52
38,6;-0,071;2,6
38,7;-0,07;2,66
38,8;-0,074;2,69
38,9;-0,075;2,69
39;-0,079;2,66
39,1;-0,089;2,61
39,2;-0,095;2,53
39,3;-0,104;2,43
39,4;-0,115;2,34
39,5;-0,127;2,26
39,6;-0,138;2,19
39,7;-0,153;2,15
39,8;-0,156;2,13
39,9;-0,169;2,15
40;-0,171;2,21
40,1;-0,174;2,28
40,2;-0,167;2,36
40,3;-0,162;2,45
40,4;-0,145;2,54
40,5;-0,123;2,61
40,6;-0,102;2,67
40,7;-0,073;2,69
40,8;-0,053;2,68
40,9;-0,032;2,64
41;-0,023;2,58
41,1;-0,023;2,5
41,2;-0,03;2,41
41,3;-0,046;2,33
41,4;-0,074;2,25
41,5;-0,107;2,2
41,6;-0,142;2,16
41,7;-0,178;2,16
41,8;-0,208;2,19
41,9;-0,232;2,24
42;-0,247;2,31
42,1;-0,244;2,39
42,2;-0,228;2,47
42,3;-0,197;2,55
42,4;-0,159;2,6
42,5;-0,114;2,64
42,6;-0,063;2,66
42,7;-0,015;2,64
42,8;0,017;2,6
42,9;0,04;2,55
43;0,052;2,47
43,1;0,04;2,4
43,2;0,009;2,32
43,3;-0,037;2,26
43,4;-0,095;2,22
43,5;-0,155;2,2
43,6;-0,215;2,21
43,7;-0,261;2,24
43,8;-0,296;2,28
43,9;-0,316;2,34
44;-0,309;2,4
44,1;-0,281;2,47
44,2;-0,231;2,53
44,3;-0,173;2,57
44,4;-0,102;2,59
44,5;-0,032;2,6
44,6;0,028;2,58
44,7;0,075;2,55
44,8;0,103;2,51
44,9;0,107;2,45
45;0,086;2,4
45,1;0,042;2,34
45,2;-0,023;2,3
45,3;-0,097;2,27
45,4;-0,175;2,26
45,5;-0,247;2,27
45,6;-0,307;2,29
45,7;-0,347;2,32
45,8;-0,362;2,37
45,9;-0,35;2,41
46;-0,312;2,45
46,1;-0,25;2,49
46,2;-0,168;2,52
46,3;-0,086;2,53
46,4;-0,002;2,53
46,5;0,07;2,52
46,6;0,12;2,5
