t / s;&j / arb.u;&w / 1/s;t / s;M / arb.u
0,03;-1,44;;0,03;-3,071
0,08;-1,44;0;0,08;-3,071
0,13;-1,44;0;0,13;-3,071
0,18;-1,44;0;0,18;-3,071
0,23;-1,44;0;0,23;-3,071
0,28;-1,44;0;0,28;-3,071
0,33;-1,44;0;0,33;-3,071
0,38;-1,44;0;0,38;-3,071
0,43;-1,44;0;0,43;-3,071
0,48;-1,44;0;0,48;-3,071
0,53;-1,44;0;0,53;-3,071
0,58;-1,44;0;0,58;-3,071
0,63;-1,44;0;0,63;-3,071
0,68;-1,44;0;0,68;-3,071
0,73;-1,44;0;0,73;-3,071
0,78;-1,44;0;0,78;-3,071
0,83;-1,44;0;0,83;-3,071
0,88;-1,44;0;0,88;-3,071
0,93;-1,44;0;0,93;-3,071
0,98;-1,44;0;0,98;-3,071
1,03;-1,44;0;1,03;-3,071
1,08;-1,44;0;1,08;-3,071
1,13;-1,44;0;1,13;-3,071
1,18;-1,44;0;1,18;-3,071
1,23;-1,44;0;1,23;-3,071
1,28;-1,44;0;1,28;-3,071
1,33;-1,44;0;1,33;-3,071
1,38;-1,44;0;1,38;-3,071
1,43;-1,44;0,2;1,43;-3,071
1,48;-1,43;0,6;1,48;-3,071
1,53;-1,38;1,4;1,53;-3,071
1,58;-1,29;2,1;1,58;-3,071
1,63;-1,17;2,8;1,63;-3,071
1,68;-1,01;3,4;1,68;-3,071
1,73;-0,83;3,9;1,73;-3,071
1,78;-0,63;4,3;1,78;-3,071
1,83;-0,4;4,5;1,83;-3,071
1,88;-0,18;4,5;1,88;-3,071
1,93;0,05;4,5;1,93;-3,071
1,98;0,27;4,5;1,98;-3,071
2,03;0,5;4,5;2,03;-3,071
2,08;0,72;4,3;2,08;-3,071
2,13;0,93;4;2,13;-3,071
2,18;1,12;3,6;2,18;-3,071
2,23;1,28;2,9;2,23;-3,071
2,28;1,4;2,1;2,28;-3,071
2,33;1,49;1,2;2,33;-3,071
2,38;1,53;0,4;2,38;-3,071
2,43;1,53;-0,4;2,43;-3,071
2,48;1,49;-1,2;2,48;-3,071
2,53;1,41;-2,1;2,53;-3,071
2,58;1,29;-2,8;2,58;-3,071
2,63;1,13;-3,4;2,63;-3,071
2,68;0,94;-3,9;2,68;-3,071
2,73;0,74;-4,2;2,73;-3,071
2,78;0,52;-4,3;2,78;-3,071
2,83;0,31;-4,3;2,83;-3,071
2,88;0,09;-4,3;2,88;-3,071
2,93;-0,13;-4,3;2,93;-3,071
2,98;-0,35;-4,3;2,98;-3,071
3,03;-0,56;-4,1;3,03;-3,071
3,08;-0,75;-3,7;3,08;-3,071
3,13;-0,93;-3,2;3,13;-3,071
3,18;-1,07;-2,6;3,18;-3,071
3,23;-1,19;-2;3,23;-3,071
