t / s;s_A1 / m
0,01;0,141
0,05;0,1156
0,09;0,1818
0,13;0,1139
0,17;0,1138
0,21;0,1139
0,25;0,1858
0,29;0,1565
0,33;0,141
0,49;0,1138
0,61;0,1886
0,65;0,2247
0,69;0,1653
0,73;0,1657
0,77;0,1848
0,81;0,2001
0,85;0,1779
0,89;0,171
0,93;0,1931
0,97;0,2373
1,01;0,1218
1,05;0,225
1,09;0,1722
1,13;0,1601
1,17;0,1738
1,21;0,174
1,25;0,1782
1,29;0,1782
1,33;0,1782
1,37;0,1739
1,41;0,1699
1,45;0,17
1,49;0,1741
1,53;0,1783
1,57;0,1826
1,61;0,1826
1,65;0,1825
1,69;0,1825
1,73;0,1825
1,77;0,1825
1,81;0,1826
1,85;0,1826
1,89;0,1827
1,93;0,1826
1,97;0,1826
2,01;0,1826
2,05;0,1826
2,09;0,1826
2,13;0,1827
2,17;0,1827
2,21;0,1828
2,25;0,1828
2,29;0,1828
2,33;0,1829
2,37;0,1828
2,41;0,1827
2,45;0,1828
2,49;0,1802
2,53;0,1794
2,57;0,1798
2,61;0,1797
2,65;0,1798
2,69;0,1829
2,73;0,1872
2,77;0,1915
2,81;0,1915
2,85;0,1915
2,89;0,1913
2,93;0,1915
2,97;0,187
3,01;0,1828
3,05;0,1789
3,09;0,1792
3,13;0,1788
3,17;0,1787
3,21;0,1788
3,25;0,1787
3,29;0,1786
3,33;0,1785
3,37;0,1785
3,41;0,1785
3,45;0,1794
3,49;0,1793
3,53;0,1802
3,57;0,1802
3,61;0,1803
3,65;0,1788
3,69;0,1787
3,73;0,1795
3,77;0,1796
3,81;0,1795
3,85;0,1802
3,89;0,1796
3,93;0,1798
3,97;0,1785
4,01;0,1785
4,05;0,1786
4,09;0,1786
4,13;0,1784
4,17;0,1784
4,21;0,1785
4,25;0,1762
4,29;0,176
4,33;0,126
4,37;0,2354
4,41;0,1096
4,53;0,1778
4,57;0,2201
4,61;0,2687
4,65;0,3332
4,69;0,3985
4,73;0,4651
4,77;0,5455
4,81;0,6362
4,85;0,7293
4,89;0,8838
4,93;0,4848
4,97;0,9392
5,01;0,9544
5,05;0,9626
5,09;0,9624
5,13;0,9632
5,17;0,9632
5,21;0,9632
5,25;0,9632
5,29;0,9633
5,33;0,9633
5,37;0,9633
5,41;0,9639
5,45;0,9649
5,49;0,9659
5,53;0,9661
5,57;0,9662
5,61;0,9663
5,65;0,6434
5,69;0,9664
5,73;0,7
5,77;0,6883
5,81;0,7283
5,85;0,9668
5,89;0,9628
5,93;0,9627
5,97;0,967
6,01;0,9714
6,05;0,9628
6,09;0,9629
6,13;0,9636
6,17;0,965
6,21;0,9638
6,25;0,9621
6,29;1,0718
6,33;0,9431
